timestamp,bicep_raw,tricep_raw,bicep_envelope,tricep_envelope,ratio_b_to_t,co_activation,label
17:58:46.521531,10.8,858.12,0.0,0.0,0.0,0.0,down
17:58:46.532188,9.03,853.83,0.4424999999999999,1.072499999999991,0.412587412587416,0.4424999999999999,down
17:58:46.543507,8.2,849.56,0.5716666666666667,2.138333333333359,0.2673421667965673,0.5716666666666667,down
17:58:46.552320,6.78,845.76,0.8874999999999995,3.0875000000000057,0.2874493927125499,0.8874999999999995,down
17:58:46.559803,9.91,841.01,0.8859999999999998,4.179999999999995,0.2119617224880384,0.8859999999999998,down
17:58:46.578482,17.64,837.26,2.1,5.216666666666659,0.4025559105431316,2.1,down
17:58:46.589576,14.59,832.57,2.468571428571429,6.355714285714271,0.3884018880647346,2.468571428571429,down
17:58:46.597021,15.66,828.87,2.823125,7.375624999999985,0.3827641725277527,2.823125,down
17:58:46.610722,14.5,824.67,2.9205555555555556,8.371666666666657,0.348861901917845,2.9205555555555556,down
17:58:46.622867,14.37,820.5,2.807,9.39799999999999,0.2986805703341139,2.807,down
17:58:46.634628,11.87,816.81,2.932,11.208499999999992,0.261587188294598,2.932,down
17:58:46.643824,16.78,812.62,3.0780000000000003,12.803999999999997,0.2403936269915652,3.0780000000000003,down
17:58:46.656212,22.75,808.92,3.8155,14.161999999999988,0.2694181612766561,3.8155,down
17:58:46.665023,19.11,804.29,4.0305,15.398,0.2617547733471879,4.0305,down
17:58:46.680402,16.16,800.67,3.9675,16.341500000000007,0.2427867698803658,3.9675,down
17:58:46.687062,13.78,796.55,3.285,17.118000000000006,0.1919032597266035,3.285,down
17:58:46.701518,14.3,792.48,2.895,17.628000000000007,0.1642273655547991,2.895,down
17:58:46.712588,12.3,788.88,2.578,17.949000000000012,0.1436291715415899,2.578,down
17:58:46.724478,13.62,784.8,2.2795,18.083000000000016,0.126057623181994,2.2795,down
17:58:46.732374,16.01,781.21,2.1865,17.959500000000002,0.1217461510621119,2.1865,down
17:58:46.744405,20.73,776.69,2.5260000000000007,17.931499999999993,0.1408694197362184,2.5260000000000007,down
17:58:46.758077,20.58,773.18,2.7409999999999997,17.871500000000005,0.1533726883585596,2.7409999999999997,down
17:58:46.769826,20.78,769.19,2.3899999999999997,17.851499999999987,0.1338823068089517,2.3899999999999997,down
17:58:46.779375,20.86,765.68,2.469,17.754499999999986,0.1390633360556479,2.469,down
17:58:46.791135,23.12,762.14,2.926499999999999,17.63699999999999,0.1659295798605205,2.926499999999999,down
17:58:46.805362,26.3,758.12,3.3564999999999996,17.50199999999999,0.1917780825048567,3.3564999999999996,down
17:58:46.815248,23.39,754.61,3.5419999999999994,17.330499999999983,0.2043795620437958,3.5419999999999994,down
